Season,Date,Time,MatchID,MatchGame,TeamA_Name,TeamB_Name,SeriesScore,TeamA_Win,TeamA_Hero1,TeamA_Hero2,TeamA_Hero3,TeamA_Hero4,TeamA_Hero5,TeamB_Hero1,TeamB_Hero2,TeamB_Hero3,TeamB_Hero4,TeamB_Hero5
MPL PH S16 (Playoffs sample),2025-10-22,14:00,TL_vs_FAL_Bo5,1,Team Liquid,Team Falcon,3-1,1,Yu Zhong,Yi Sun-shin,Zhuxin,Ruby,Gatotkaca,Alice,Lancelot,Kimmy,Claude,Grock
MPL PH S16 (Playoffs sample),2025-10-22,14:00,TL_vs_FAL_Bo5,2,Team Liquid,Team Falcon,3-1,1,Alice,Lancelot,Lunox,Harith,Gatotkaca,Arlott,Fredrinn,Kimmy,Granger,Mathilda
MPL PH S16 (Playoffs sample),2025-10-22,14:00,TL_vs_FAL_Bo5,3,Team Liquid,Team Falcon,3-1,0,Alice,Lancelot,Yve,Granger,Hylos,Uranus,Yi Sun-shin,Kimmy,Bane,Khaleed
MPL PH S16 (Playoffs sample),2025-10-22,14:00,TL_vs_FAL_Bo5,4,Team Liquid,Team Falcon,3-1,1,Yu Zhong,Lancelot,Lunox,Esmeralda,Hilda,Uranus,Yi Sun-shin,Kimmy,Chou,Badang
MPL PH S16 (Playoffs sample),2025-10-22,18:00,TM_vs_TNC_Bo5,1,Twisted Minds,TNC Pro Team,2-3,0,Alice,Leomord,Zhuxin,Harith,Kalea,Lapu-Lapu,Lancelot,Valentina,Wanwan,Gatotkaca
MPL PH S16 (Playoffs sample),2025-10-22,18:00,TM_vs_TNC_Bo5,2,Twisted Minds,TNC Pro Team,2-3,1,Phoveus,Lancelot,Selena,Harith,Gatotkaca,Hilda,Yi Sun-shin,Lunox,Granger,Khaleed
MPL PH S16 (Playoffs sample),2025-10-22,18:00,TM_vs_TNC_Bo5,3,Twisted Minds,TNC Pro Team,2-3,0,Alice,Hayabusa,Kagura,Granger,Gatotkaca,Yu Zhong,Lancelot,Kimmy,Obsidia,Hilda
MPL PH S16 (Playoffs sample),2025-10-22,18:00,TM_vs_TNC_Bo5,4,Twisted Minds,TNC Pro Team,2-3,1,Gloo,Hayabusa,Kimmy,Lapu-Lapu,Gatotkaca,Arlott,Lancelot,Lunox,Chou,Grock
MPL PH S16 (Playoffs sample),2025-10-22,18:00,TM_vs_TNC_Bo5,5,Twisted Minds,TNC Pro Team,2-3,0,Hilda,Hayabusa,Valentina,Beatrix,Kalea,Phoveus,Fanny,Lunox,Wanwan,Gatotkaca
MPL PH S16 (Playoffs sample),2025-10-23,14:00,ONIC_vs_TL_Bo5,1,ONIC Philippines,Team Liquid,0-3,0,Cici,Joy,Kimmy,Granger,Hylos,Phoveus,Yi Sun-shin,Pharsa,Harith,Gatotkaca
MPL PH S16 (Playoffs sample),2025-10-23,14:00,ONIC_vs_TL_Bo5,2,ONIC Philippines,Team Liquid,0-3,0,Lapu-Lapu,Yi Sun-shin,Valentina,Moskov,Gatotkaca,Yu Zhong,Lancelot,Lunox,Ruby,Khaleed
MPL PH S16 (Playoffs sample),2025-10-23,14:00,ONIC_vs_TL_Bo5,3,ONIC Philippines,Team Liquid,0-3,0,Uranus,Yi Sun-shin,Zhuxin,Harith,Baxia,Alice,Lancelot,Selena,Claude,Gatotkaca
MPL PH S16 (Playoffs sample),2025-10-23,18:00,AUR_vs_TNC_Bo5,1,Aurora,TNC Pro Team,3-2,1,Uranus,Lancelot,Kimmy,Cici,Grock,Lapu-Lapu,Yi Sun-shin,Valentina,Obsidia,Gatotkaca
