Hero,Picks,Wins,Losses,WinRatePercent,PickRatePercent,Bans,BanRatePercent,PickBanPercent,Lane1,Lane2,,HeroGrade,Poke,Tanky,Engage,Pickoff,Burst,DPS,Heal,Dash,Anti Heal,Anti Dash,Early Game,Mid Game,Late Game
Yi Sun-shin,93,41,52,44.09,52.84,46,26.14,78.98,Jungle,,,S,0,0,1,1,1,2,0,2,0,0,0,1,2
Gatotkaca,90,45,45,50.0,51.14,27,15.34,66.48,Roam,,,S,0,2,2,1,0,0,1,1,0,0,1,2,0
Lancelot,84,49,35,58.33,47.73,79,44.89,92.61,Jungle,,,S,0,0,0,2,1,2,0,2,0,0,2,2,1
Lapu-Lapu,84,44,40,52.38,47.73,37,21.02,68.75,Exp Lane,Gold Lane,,S,0,1,2,0,1,1,1,1,0,0,2,2,0
Harith,76,42,34,55.26,43.18,75,42.61,85.8,Gold Lane,Mid Lane,,S,1,0,0,0,1,2,1,2,0,0,0,1,2
Kimmy,70,35,35,50.0,39.77,36,20.45,60.23,Gold Lane,Mid Lane,,S,2,0,0,0,0,2,0,0,1,0,1,2,2
Granger,69,30,39,43.48,39.2,41,23.3,62.5,Gold Lane,,,S,2,0,0,0,1,2,0,1,0,0,1,2,2
Zhuxin,61,31,30,50.82,34.66,107,60.8,95.45,Mid Lane,,,S,2,0,1,1,0,1,0,0,1,0,2,1,1
Pharsa,57,36,21,63.16,32.39,44,25.0,57.39,Mid Lane,,,A,2,0,0,1,2,0,0,0,0,0,1,1,2
Arlott,56,27,29,48.21,31.82,67,38.07,69.89,Exp Lane,,,S,0,1,2,2,0,1,1,2,0,1,1,2,0
Cici,51,25,26,49.02,28.98,81,46.02,75.0,Exp Lane,Gold Lane,,S,2,1,1,0,1,2,1,0,0,0,2,2,1
Kalea,49,24,25,48.98,27.84,77,43.75,71.59,Roam,,,A,0,1,2,2,0,0,2,1,0,2,1,2,2
Grock,47,23,24,48.94,26.7,54,30.68,57.39,Roam,,,S,0,2,2,2,0,0,0,0,0,1,2,2,1
Moskov,47,23,24,48.94,26.7,15,8.52,35.23,Gold Lane,,,B,0,0,0,2,0,2,0,2,0,0,0,1,2
Fredrinn,46,23,23,50.0,26.14,24,13.64,39.77,Jungle,,,A,0,2,2,2,0,1,1,1,0,2,2,2,0
Hayabusa,45,23,22,51.11,25.57,17,9.66,35.23,Jungle,,,A,0,0,0,2,2,1,0,2,0,0,1,2,1
Uranus,43,19,24,44.19,24.43,44,25.0,49.43,Exp Lane,Gold Lane,,A,1,2,1,0,0,2,1,0,0,0,2,1,0
Hylos,41,19,22,46.34,23.3,31,17.61,40.91,Roam,,,A,1,2,2,1,0,1,1,0,0,1,2,1,0
Phoveus,36,23,13,63.89,20.45,65,36.93,57.39,Exp Lane,,,A,0,2,1,1,0,1,0,2,0,1,2,1,0
Kagura,35,16,19,45.71,19.89,10,5.68,25.57,Mid Lane,,,B,0,0,1,2,2,1,0,2,0,0,0,1,2
Baxia,31,16,15,51.61,17.61,119,67.61,85.23,Jungle,Roam,,S,1,2,2,2,0,1,0,0,2,0,2,1,0
Esmeralda,31,11,20,35.48,17.61,35,19.89,37.5,Exp Lane,Gold Lane,,A,1,2,1,1,0,1,1,0,0,0,2,1,0
Lunox,30,15,15,50.0,17.05,18,10.23,27.27,Mid Lane,Gold Lane,,A,1,0,0,2,2,1,0,1,1,0,1,1,2
Alice,28,16,12,57.14,15.91,13,7.39,23.3,Exp Lane,,,S,0,2,2,0,0,2,1,1,0,0,1,2,1
Selena,26,14,12,53.85,14.77,18,10.23,25.0,Mid Lane,,,B,2,0,1,2,2,1,0,1,1,0,1,1,2
Joy,25,9,16,36.0,14.2,7,3.98,18.18,Jungle,,,A,0,0,0,1,2,2,0,2,0,0,1,2,1
Valentina,25,7,18,28.0,14.2,16,9.09,23.3,Mid Lane,,,A,1,0,0,1,1,2,0,2,1,0,1,1,1
Ruby,23,8,15,34.78,13.07,13,7.39,20.45,Exp Lane,Gold Lane,,A,0,1,2,2,0,1,1,1,0,2,1,2,1
Khaleed,23,7,16,30.43,13.07,16,9.09,22.16,Roam,,,A,1,1,2,2,0,1,1,1,0,0,2,1,0
Karrie,22,11,11,50.0,12.5,6,3.41,15.91,Gold Lane,,,B,1,0,0,0,2,1,0,0,0,0,0,1,2
Claude,22,9,13,40.91,12.5,11,6.25,18.75,Gold Lane,,,B,2,0,0,0,1,2,0,1,0,0,0,1,2
Chou,21,8,13,38.1,11.93,16,9.09,21.02,Gold Lane,Roam,,A,0,0,2,2,0,1,0,2,0,2,2,2,1
Hilda,20,12,8,60.0,11.36,20,11.36,22.73,Roam,,,A,1,2,2,2,0,1,1,0,0,1,2,1,0
Gloo,17,9,8,52.94,9.66,9,5.11,14.77,Exp Lane,,,A,1,2,2,1,0,1,1,0,0,0,1,2,0
Wanwan,15,11,4,73.33,8.52,132,75.0,83.52,Gold Lane,,,S,1,0,0,0,0,2,0,2,0,0,0,1,2
Akai,15,10,5,66.67,8.52,6,3.41,11.93,Jungle,,,B,0,1,2,2,0,0,0,0,0,2,1,1,1
Fanny,14,10,4,71.43,7.95,93,52.84,60.8,Jungle,,,S,0,0,1,2,2,1,0,2,0,0,2,1,1
Yve,14,8,6,57.14,7.95,19,10.8,18.75,Mid Lane,,,A,2,0,0,0,0,2,0,0,1,0,1,2,1
Badang,13,6,7,46.15,7.39,8,4.55,11.93,Roam,,,B,0,1,2,2,0,0,0,0,0,1,0,1,1
Angela,12,3,9,25.0,6.82,26,14.77,21.59,Mid Lane,,,A,1,0,0,0,0,1,2,0,0,0,2,1,1
Bane,11,8,3,72.73,6.25,14,7.95,14.2,Gold Lane,,,B,0,0,0,0,2,0,0,0,0,0,0,1,2
Franco,11,8,3,72.73,6.25,26,14.77,21.02,Roam,,,B,0,1,2,2,0,0,0,0,0,2,0,1,2
Beatrix,10,3,7,30.0,5.68,8,4.55,10.23,Gold Lane,,,B,1,0,0,0,2,1,0,0,0,0,0,1,2
Bruno,9,7,2,77.78,5.11,8,4.55,9.66,Gold Lane,,,B,1,0,0,0,1,2,0,0,0,0,0,1,2
Chip,9,7,2,77.78,5.11,47,26.7,31.82,Roam,,,B,0,1,2,2,0,0,0,0,0,1,0,1,2
Mathilda,9,6,3,66.67,5.11,16,9.09,14.2,Roam,,,B,0,0,1,1,0,1,2,2,0,0,1,1,1
Luo Yi,9,4,5,44.44,5.11,9,5.11,10.23,Mid Lane,,,B,1,0,0,2,1,1,0,0,1,0,0,1,2
Yu Zhong,7,7,0,100.0,3.98,21,11.93,15.91,Exp Lane,,,S,0,1,2,1,0,1,1,0,0,0,2,1,0
Novaria,7,5,2,71.43,3.98,10,5.68,9.66,Mid Lane,,,B,2,0,0,0,0,1,0,0,1,0,0,1,1
Terizla,7,4,3,57.14,3.98,1,0.57,4.55,Exp Lane,,,B,0,2,2,1,0,1,0,0,0,0,2,1,0
Cecilion,6,4,2,66.67,3.41,3,1.7,5.11,Mid Lane,,,C,2,0,0,0,1,2,0,0,1,0,0,1,2
Obsidia,6,3,3,50.0,3.41,0,0.0,3.41,Gold Lane,,,B,1,0,0,0,0,1,0,1,0,0,0,1,2
Kaja,5,5,0,100.0,2.84,2,1.14,3.98,Roam,,,C,0,1,2,2,0,0,0,0,0,2,0,1,2
Natan,5,3,2,60.0,2.84,0,0.0,2.84,Gold Lane,,,B,2,0,0,2,2,1,0,1,0,0,0,1,2
X.Borg,5,1,4,20.0,2.84,4,2.27,5.11,Exp Lane,,,B,2,2,1,0,1,1,0,0,0,0,1,1,1
Khufra,4,2,2,50.0,2.27,2,1.14,3.41,Roam,,,C,0,2,2,2,0,0,0,0,0,2,0,1,1
Benedetta,4,0,4,0.0,2.27,1,0.57,2.84,Exp Lane,Gold Lane,,C,0,0,1,1,1,1,0,2,0,0,2,1,1
Brody,3,1,2,33.33,1.7,0,0.0,1.7,Gold Lane,,,C,1,0,0,0,1,1,0,0,0,0,1,2,1
Jawhead,3,1,2,33.33,1.7,0,0.0,1.7,Roam,,,C,0,1,2,2,0,0,0,0,0,2,2,1,0
Helcurt,3,0,3,0.0,1.7,1,0.57,2.27,Roam,,,A,0,0,2,2,2,1,0,2,0,0,1,1,1
Dyrroth,2,1,1,50.0,1.14,0,0.0,1.14,Exp Lane,Jungle,,D,0,0,0,0,1,0,0,0,0,0,2,1,0
Edith,2,1,1,50.0,1.14,0,0.0,1.14,Exp Lane,Roam,,C,0,1,2,2,0,1,0,0,0,1,1,1,1
Guinevere,2,0,2,0.0,1.14,2,1.14,2.27,Exp Lane,,,D,0,0,2,2,0,1,0,1,0,1,1,1,0
Lukas,2,0,2,0.0,1.14,1,0.57,1.7,Exp Lane,Jungle,,D,0,1,1,0,1,1,0,0,0,0,1,2,0
Roger,2,0,2,0.0,1.14,0,0.0,1.14,Jungle,,,D,0,0,0,0,0,1,0,1,0,0,0,1,1
Vexana,2,0,2,0.0,1.14,1,0.57,1.7,Mid Lane,,,B,2,0,1,0,0,1,0,0,1,1,1,1,1
Ixia,1,1,0,100.0,0.57,0,0.0,0.57,Gold Lane,,,C,1,0,0,0,0,1,0,0,0,0,0,1,2
Nolan,1,1,0,100.0,0.57,0,0.0,0.57,Jungle,,,C,0,0,0,0,2,1,0,2,0,0,1,1,1
Suyou,1,1,0,100.0,0.57,0,0.0,0.57,Jungle,,,C,0,0,0,0,1,1,0,2,0,0,1,2,0
Aurora,1,0,1,0.0,0.57,0,0.0,0.57,Mid Lane,,,D,1,0,1,1,1,1,0,0,0,0,0,1,1
Barats,1,0,1,0.0,0.57,0,0.0,0.57,Jungle,,,C,0,2,2,2,0,1,0,0,0,1,2,1,0
Carmilla,1,0,1,0.0,0.57,0,0.0,0.57,Roam,,,D,0,2,2,2,0,0,0,0,0,1,0,1,1
Irithel,1,0,1,0.0,0.57,0,0.0,0.57,Gold Lane,,,C,0,0,0,1,1,1,0,0,0,0,0,1,2
Leomord,1,0,1,0.0,0.57,0,0.0,0.57,Jungle,,,D,0,1,1,0,0,1,0,1,0,0,1,2,0
Lolita,1,0,1,0.0,0.57,0,0.0,0.57,Roam,,,D,0,1,1,2,0,0,0,0,0,1,0,1,1
Zetian,1,0,1,0.0,0.57,1,0.57,1.14,Mid Lane,,,C,2,0,1,1,0,1,0,0,0,0,0,1,1
Faramis,0,0,0,0.0,0.0,3,1.7,1.7,Mid Lane,,,C,2,0,0,1,0,1,1,0,0,0,0,1,1
Ling,0,0,0,0.0,0.0,1,0.57,0.57,Jungle,,,D,0,0,0,1,0,1,0,2,0,0,0,1,2
